,IoT_15day_CASI_weighted_finance,IoT_30day_CASI_weighted_finance,CASIxP,CASIxFRP,priceupdate_up,pct_final_revision_up
IoT_15day_CASI_weighted_finance,1.0,0.6558448268719552,0.14587531800795162,0.27057484573935736,0.1108609083130873,0.2145272539676557
IoT_30day_CASI_weighted_finance,0.6558448268719552,1.0,0.04093481482152532,0.09892990153606879,0.041801461489386196,0.10302596552230665
CASIxP,0.14587531800795162,0.04093481482152532,1.0,0.762518742170357,0.07924559884783954,0.25392625646069783
CASIxFRP,0.27057484573935736,0.09892990153606879,0.762518742170357,1.0,0.1816353592793199,0.37179356933128277
priceupdate_up,0.1108609083130873,0.041801461489386196,0.07924559884783954,0.1816353592793199,1.0,0.7021992762777068
pct_final_revision_up,0.2145272539676557,0.10302596552230665,0.25392625646069783,0.37179356933128277,0.7021992762777068,1.0
number_of_price_updates_up,0.22672859568362838,0.1318377764007729,0.17494913289068023,0.21740110402749793,0.48500753356487447,0.6945395302185865
number_of_price_updates_down,-0.12358026890200405,-0.060460496154288564,-0.09514142644566849,-0.08494626678500704,-0.10500501330009177,-0.3993481664018215
EPS,0.07645629350760291,0.05141123373369449,-0.04668219564699402,-0.05620926980118253,-0.018141286056977506,0.007259708358856109
VC,0.10472940089697357,0.09875533606512675,0.06587343016593689,0.07511374101516428,0.022396153920781394,0.09041462558453262
underwriter_rank_avg,0.153323509626807,0.10247305714745723,0.05722359020158262,0.06009375062657899,-0.04016444310398626,0.07119771000794846
share_overhang,0.08478957790952418,0.032049745172212867,0.06724260916014019,0.08366519472947562,0.06261127536030078,0.08902186870647553
log(proceeds),0.24985028693976344,0.172578860898345,0.05632465994149583,0.027485715938367464,-0.07534806892172564,0.01321458015757661
log(1+sales),0.16536899279851588,0.08800276584655475,0.01743965761281556,0.04596325992492069,0.0472215687892064,0.09529043443208499
log(days_from_s1_to_listing),0.00942448318180477,-0.00585876364235777,-0.07496085271343131,-0.04454601831170471,0.0005153727909139222,-0.054461717491068665
confidential_IPO,-0.009071958438287401,-0.04121244190660101,-0.019218298052060108,0.00946445197348732,0.013325126119243993,0.013178607948897143
media_listing,0.12663249424874976,0.06657203329451242,0.06161633505493821,0.08522643795488587,0.10790052851565846,0.13293353271923103
M3_indust_rets,0.03203176073380119,0.03883480860876241,0.009511947520233249,0.04166345433046701,0.08299909851035372,0.11374395953713808
M3_initial_returns,-0.007275406742668375,-0.020343763278136272,0.0512469607115976,0.04323582168526366,0.032342425534231146,0.0684917190397218
